index,season,date,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,a_possession,h_possession (in percent),h_possession,a_possession (in percent),h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners
22,13-14,Aug 11 2013,4,Nordsjælland,København,2,2,1,1,10,10,106.97,112.12,0.53,47,0.47,53,12,11,22,14,0,0,2,3,2,4
23,13-14,Aug 12 2013,4,Sønderjyske,Vestsjælland,0,0,0,0,12,11,118.67,111.96,0.48,52,0.52,48,12,15,14,16,0,0,2,3,2,5
24,13-14,Aug 16 2013,5,Midtjylland,Brøndby,5,2,2,1,10,11,117.48,116.34,0.5,50,0.5,50,17,13,18,14,0,0,2,1,6,9
25,13-14,Aug 17 2013,5,Nordsjælland,AaB,2,1,1,1,9,8,114.12,108.54,0.53,47,0.47,53,7,7,14,11,0,0,1,0,2,8
26,13-14,Aug 18 2013,5,Vestsjælland,OB,1,1,0,1,10,6,114.41,107.88,0.51,49,0.49,51,9,10,18,19,0,0,2,2,8,7
27,13-14,Aug 18 2013,5,Sønderjyske,Viborg,0,3,0,2,7,9,127.5,118.1,0.49,51,0.51,49,12,13,10,16,0,0,0,3,3,6
28,13-14,Aug 18 2013,5,København,AGF,1,1,1,1,12,9,117.41,117.52,0.49,51,0.51,49,17,12,12,13,0,0,1,4,1,5
29,13-14,Aug 19 2013,5,Randers,Esbjerg,3,2,0,1,15,4,112.74,112.77,0.48,52,0.52,48,10,13,9,19,0,0,3,2,5,3
30,13-14,Aug 23 2013,6,AGF,Sønderjyske,3,1,1,1,5,13,119.32,116.14,0.5,50,0.5,50,10,13,13,16,0,0,3,1,2,2
31,13-14,Aug 25 2013,6,OB,Nordsjælland,1,0,0,0,12,7,113.01,117.93,0.47,53,0.53,47,13,7,16,10,0,0,3,3,2,12
32,13-14,Aug 25 2013,6,Viborg,Esbjerg,3,1,1,0,6,12,114.9572727,117.885,0.53,47,0.47,53,9,4,22,17,0,0,2,0,7,2
33,13-14,Aug 25 2013,6,København,Vestsjælland,1,1,1,1,19,10,115.64,115.45,0.5,50,0.5,50,4,16,14,11,0,0,2,4,2,6
34,13-14,Aug 25 2013,6,Brøndby,Randers,0,0,0,0,18,7,117.9,113.98,0.5,50,0.5,50,10,10,19,20,0,0,2,2,3,5
35,13-14,Aug 26 2013,6,AaB,Midtjylland,1,1,1,0,10,15,115.57,121.28,0.51,49,0.49,51,12,13,16,5,0,0,1,4,8,6
36,13-14,Aug 30 2013,7,OB,AGF,3,6,2,1,7,9,120.68,124.9,0.52,48,0.48,52,14,10,13,12,0,0,1,2,7,4
37,13-14,Sep 01 2013,7,Nordsjælland,Vestsjælland,1,2,1,0,12,9,117.7,118.46,0.53,47,0.47,53,19,13,12,14,0,0,3,4,13,4
38,13-14,Sep 01 2013,7,Esbjerg,Midtjylland,1,1,1,0,10,11,113.89,114.66,0.49,51,0.51,49,12,10,12,18,0,1,1,2,4,3
39,13-14,Sep 01 2013,7,Viborg,København,1,4,0,2,9,19,109.63,110.73,0.52,48,0.48,52,12,6,12,14,0,0,1,1,5,10
40,13-14,Sep 01 2013,7,AaB,Brøndby,2,1,0,0,14,13,117.73,114.79,0.53,47,0.47,53,7,17,17,13,0,0,3,3,1,5
41,13-14,Sep 02 2013,7,Randers,Sønderjyske,0,2,0,0,9,9,116.03,117.62,0.5,50,0.5,50,9,14,20,14,1,0,2,2,10,3
42,13-14,Sep 13 2013,8,Sønderjyske,AaB,1,3,1,1,9,12,115.63,110.55,0.47,53,0.53,47,13,10,19,11,1,0,4,3,7,2
43,13-14,Sep 14 2013,8,København,Esbjerg,1,1,0,1,18,12,126.59,120.04,0.47,53,0.53,47,15,17,7,15,1,0,1,3,2,3
44,13-14,Sep 15 2013,8,AGF,Viborg,0,1,0,1,11,8,113.84,112.62,0.48,52,0.52,48,5,8,18,17,0,0,1,1,6,3
45,13-14,Sep 15 2013,8,Vestsjælland,Randers,2,0,0,0,8,9,116.65,118.39,0.47,53,0.53,47,13,8,13,10,0,0,2,0,0,1
46,13-14,Sep 15 2013,8,Brøndby,OB,2,1,1,0,20,10,110.16,111.55,0.53,47,0.47,53,14,8,17,19,0,0,2,2,8,1
47,13-14,Sep 16 2013,8,Midtjylland,Nordsjælland,2,1,1,1,7,19,116.48,116.59,0.53,47,0.47,53,16,11,20,15,0,0,3,3,6,6
48,13-14,Sep 20 2013,9,Randers,AaB,3,2,2,1,11,11,120.12,119.85,0.47,53,0.53,47,14,12,12,7,0,0,2,1,3,9
49,13-14,Sep 21 2013,9,Midtjylland,Viborg,0,0,0,0,18,6,113.88,116.07,0.52,48,0.48,52,10,8,10,13,0,0,1,2,4,4
50,13-14,Sep 22 2013,9,Sønderjyske,Nordsjælland,2,0,2,0,8,12,114.45,117.03,0.5,50,0.5,50,15,19,18,14,0,0,1,3,4,6
51,13-14,Sep 22 2013,9,AGF,Brøndby,1,3,0,1,9,19,109.89,116.39,0.48,52,0.52,48,4,10,6,7,0,0,1,2,5,5
52,13-14,Sep 22 2013,9,København,OB,2,1,0,1,13,10,119.15,111.94,0.5,50,0.5,50,13,10,12,22,0,0,4,3,9,2
53,13-14,Sep 23 2013,9,Vestsjælland,Esbjerg,1,3,0,3,6,7,120.62,116.98,0.49,51,0.51,49,7,13,13,11,0,0,2,2,4,7
54,13-14,Sep 27 2013,10,Viborg,Vestsjælland,2,0,0,0,10,6,117.41,114.67,0.48,52,0.52,48,4,5,13,8,0,0,0,0,3,3
55,13-14,Sep 28 2013,10,Brøndby,København,3,2,2,0,8,8,117.25,112.97,0.47,53,0.53,47,16,8,10,12,0,1,2,0,9,0
56,13-14,Sep 29 2013,10,Esbjerg,Sønderjyske,4,1,2,0,16,11,115.6,119.74,0.52,48,0.48,52,13,14,23,12,0,0,3,5,8,2
57,13-14,Sep 29 2013,10,AaB,AGF,0,0,0,0,6,6,115.25,112.89,0.47,53,0.53,47,5,16,17,12,0,0,0,1,4,9
58,13-14,Sep 29 2013,10,OB,Midtjylland,1,1,0,1,8,10,111.65,109.28,0.49,51,0.51,49,11,15,22,21,0,0,2,3,2,7
59,13-14,Sep 30 2013,10,Nordsjælland,Randers,1,0,1,0,10,9,119.92,118.37,0.53,47,0.47,53,11,15,20,25,0,0,2,1,5,5
60,13-14,Oct 05 2013,11,Randers,AGF,2,2,2,1,10,11,115.44,119.74,0.52,48,0.48,52,15,3,16,21,0,0,1,1,9,6
61,13-14,Oct 06 2013,11,Esbjerg,OB,1,3,1,1,17,6,118.17,119.25,0.53,47,0.47,53,11,10,8,16,0,0,1,2,4,4
62,13-14,Oct 06 2013,11,AaB,Viborg,3,1,2,1,17,9,115.2,117.96,0.51,49,0.49,51,7,12,19,10,0,0,2,1,8,3
63,13-14,Oct 06 2013,11,København,Sønderjyske,2,1,1,0,21,8,113.86,116.4,0.51,49,0.49,51,10,9,20,17,0,0,2,1,7,9
64,13-14,Oct 06 2013,11,Nordsjælland,Brøndby,1,1,0,1,7,9,112.97,106.66,0.49,51,0.51,49,18,16,10,9,0,0,3,2,2,3
65,13-14,Oct 07 2013,11,Midtjylland,Vestsjælland,2,2,1,0,12,9,117.03,118.05,0.53,47,0.47,53,11,8,8,8,1,0,1,2,1,9
66,13-14,Oct 18 2013,12,AGF,Nordsjælland,0,1,0,0,11,10,117.5518182,116.4384848,0.47,53,0.53,47,11,9,10,9,0,0,1,1,13,1
67,13-14,Oct 19 2013,12,Midtjylland,Randers,1,1,1,0,10,6,117.28,122.7,0.5,50,0.5,50,15,8,24,17,0,0,2,2,7,2
68,13-14,Oct 20 2013,12,Vestsjælland,Esbjerg,2,1,1,0,11,8,122.99,120.67,0.49,51,0.51,49,3,12,16,22,0,1,1,2,7,1
69,13-14,Oct 20 2013,12,Brøndby,Viborg,0,0,0,0,12,9,114.89,111.38,0.53,47,0.47,53,9,13,7,15,0,0,0,1,2,14
70,13-14,Oct 20 2013,12,København,AaB,3,0,1,0,5,4,115.34,117.29,0.48,52,0.52,48,6,16,14,15,0,0,1,4,5,4
71,13-14,Oct 21 2013,12,Sønderjyske,OB,1,5,0,1,14,13,121.38,112.24,0.49,51,0.51,49,6,9,20,11,0,0,1,0,7,10
72,13-14,Oct 25 2013,13,Viborg,Vestsjælland,4,1,1,1,7,14,121.41,119.66,0.5,50,0.5,50,9,6,18,13,0,0,2,2,8,10
73,13-14,Oct 26 2013,13,Nordsjælland,Midtjylland,2,1,1,1,14,15,123.4,121.32,0.49,51,0.51,49,12,16,15,11,0,0,0,2,10,2
74,13-14,Oct 27 2013,13,AaB,Sønderjyske,2,0,0,0,17,7,115.29,116.46,0.51,49,0.49,51,9,13,14,11,0,0,1,2,8,5
75,13-14,Oct 27 2013,13,Randers,København,1,1,1,0,12,19,119.37,122.26,0.53,47,0.47,53,10,10,11,21,0,0,2,1,7,8
76,13-14,Oct 27 2013,13,OB,Brøndby,0,0,0,0,17,11,121.3,119.79,0.5,50,0.5,50,7,12,18,13,0,0,2,1,1,9
77,13-14,Oct 28 2013,13,Esbjerg,AGF,0,2,0,1,17,8,116.6,121.17,0.41,59,0.59,41,14,12,12,21,0,0,2,2,6,1
78,13-14,Nov 01 2013,14,Sønderjyske,Randers,1,3,1,2,8,7,120.7,117.73,0.57,43,0.43,57,17,12,13,13,0,0,3,1,7,5
79,13-14,Nov 02 2013,14,København,Nordsjælland,4,0,0,0,13,8,115.67,116.62,0.45,55,0.55,45,12,9,11,16,0,0,0,1,10,0
80,13-14,Nov 02 2013,14,AaB,OB,1,0,0,0,18,10,120.65,122.49,0.46,54,0.54,46,6,7,17,21,0,0,1,1,3,2
81,13-14,Nov 03 2013,14,AGF,Viborg,2,1,1,0,10,6,118.52,121.55,0.47,53,0.53,47,7,14,15,11,0,0,1,2,2,4
82,13-14,Nov 03 2013,14,Midtjylland,Esbjerg,3,0,1,0,2,9,117.04,120.48,0.59,41,0.41,59,16,11,13,10,0,0,2,1,4,5
83,13-14,Nov 04 2013,14,Vestsjælland,Brøndby,0,2,0,0,14,10,109.73,114.86,0.61,39,0.39,61,16,10,12,10,0,0,2,1,2,2
84,13-14,Nov 08 2013,15,Viborg,Midtjylland,2,3,0,1,14,8,114.97,118,0.52,48,0.48,52,11,11,9,7,0,1,2,3,13,7
85,13-14,Nov 09 2013,15,Nordsjælland,Sønderjyske,3,0,2,0,15,7,102.04,112.75,0.42,58,0.58,42,15,14,10,20,0,0,2,1,8,1
86,13-14,Nov 10 2013,15,OB,Vestsjælland,1,3,0,2,9,9,116.08,117.89,0.45,55,0.55,45,4,8,17,25,0,0,0,2,0,8
87,13-14,Nov 10 2013,15,Esbjerg,København,1,1,1,0,12,8,115.3,118.23,0.57,43,0.43,57,16,4,15,12,0,0,4,1,5,4
88,13-14,Nov 10 2013,15,Brøndby,AGF,3,0,0,0,10,10,115.58,114.5,0.42,58,0.58,42,10,14,12,14,0,0,2,0,4,4
89,13-14,Nov 11 2013,15,Randers,AaB,1,4,0,2,11,7,116.22,113.55,0.46,54,0.54,46,16,11,12,9,1,0,5,5,1,3
90,13-14,Nov 22 2013,16,Sønderjyske,Esbjerg,1,0,1,0,15,15,120.16,117.97,0.55,45,0.45,55,11,7,4,15,1,1,3,1,6,1
91,13-14,Nov 23 2013,16,Randers,OB,1,1,1,0,5,8,119.85,124.26,0.5,50,0.5,50,14,16,15,10,0,0,1,2,9,5
92,13-14,Nov 24 2013,16,AGF,Vestsjælland,2,2,1,1,8,12,119.65,116.59,0.52,48,0.48,52,12,13,16,20,0,0,3,3,6,4
93,13-14,Nov 24 2013,16,København,Viborg,4,1,3,1,8,5,119.96,120.15,0.5,50,0.5,50,11,5,12,11,0,0,3,1,7,2
94,13-14,Nov 24 2013,16,Midtjylland,Brøndby,0,1,0,0,12,7,118.39,113.47,0.51,49,0.49,51,10,10,20,11,0,0,2,1,4,4
95,13-14,Nov 25 2013,16,AaB,Nordsjælland,1,1,1,1,5,15,120.35,120.7,0.59,41,0.41,59,10,10,17,21,0,0,1,2,6,4
96,13-14,Nov 29 2013,17,Vestsjælland,Midtjylland,0,1,0,1,10,5,114.13,117.44,0.45,55,0.55,45,10,11,15,13,0,0,1,3,8,1
97,13-14,Nov 30 2013,17,Viborg,Sønderjyske,2,2,1,1,9,8,125.42,121.07,0.51,49,0.49,51,15,9,19,13,0,0,3,1,6,3
98,13-14,Dec 01 2013,17,Nordsjælland,Randers,1,1,1,1,19,4,115.12,115.85,0.37,63,0.63,37,7,12,24,17,0,0,2,2,3,6
99,13-14,Dec 01 2013,17,OB,AGF,4,1,2,0,20,12,111.28,115.98,0.49,51,0.51,49,13,5,15,27,0,0,2,1,6,2
100,13-14,Dec 01 2013,17,Brøndby,København,1,3,1,3,9,7,119.19,123.8,0.51,49,0.49,51,10,16,10,12,0,0,1,2,9,4
101,13-14,Dec 02 2013,17,Esbjerg,AaB,2,2,1,2,20,6,118.02,121.67,0.37,63,0.63,37,5,11,20,15,0,0,1,2,6,2
102,13-14,Dec 06 2013,18,Nordsjælland,OB,2,0,1,0,10,11,116.02,116.79,0.42,58,0.58,42,8,7,18,11,0,0,0,0,3,6
103,13-14,Dec 07 2013,18,København,Vestsjælland,1,0,0,0,11,6,114.63,116.52,0.5,50,0.5,50,6,8,18,14,0,0,2,2,5,2
104,13-14,Dec 08 2013,18,Randers,Esbjerg,1,0,0,0,11,12,119.36,118.85,0.45,55,0.55,45,13,11,20,22,0,0,1,0,3,3
105,13-14,Dec 08 2013,18,Midtjylland,AGF,3,0,3,0,12,5,120.84,127.3,0.44,56,0.56,44,15,9,17,7,1,0,2,3,6,3
106,13-14,Dec 08 2013,18,Sønderjyske,Brøndby,1,1,1,1,10,3,121.99,117.5,0.53,47,0.47,53,10,10,18,20,0,0,2,2,6,6
107,13-14,Dec 09 2013,18,AaB,Viborg,5,0,3,0,10,6,128.05,123.74,0.49,51,0.51,49,4,9,12,7,0,0,0,0,7,2
108,13-14,Feb 21 2014,19,Vestsjælland,Sønderjyske,0,4,0,1,14,9,120.42,120.02,0.35,65,0.65,35,10,9,10,13,0,0,2,1,1,5
109,13-14,Feb 22 2014,19,OB,Midtjylland,2,1,1,1,6,13,121.44,118.77,0.49,51,0.51,49,16,19,16,20,0,0,1,1,3,5
110,13-14,Feb 23 2014,19,Viborg,Randers,1,1,0,0,7,9,119.71,118.08,0.58,42,0.42,58,16,11,24,14,0,0,1,2,5,4
111,13-14,Feb 23 2014,19,AGF,København,1,1,0,0,3,14,119.48,122.51,0.48,52,0.52,48,17,15,15,14,0,0,2,2,6,1
112,13-14,Feb 23 2014,19,Brøndby,AaB,2,2,1,1,17,9,117.06,112.27,0.44,56,0.56,44,11,10,19,21,0,0,2,2,5,1
113,13-14,Feb 24 2014,19,Esbjerg,Nordsjælland,2,1,1,0,13,11,121.86,119.04,0.51,49,0.49,51,11,5,14,15,0,0,1,0,9,1
114,13-14,Feb 28 2014,20,Nordsjælland,Viborg,2,0,1,0,18,6,119.85,117.28,0.35,65,0.65,35,8,17,12,7,0,0,0,1,2,3
115,13-14,Mar 01 2014,20,Sønderjyske,AGF,1,2,1,0,12,9,114.6,115.02,0.65,35,0.35,65,10,12,22,19,0,0,2,2,7,3
116,13-14,Mar 02 2014,20,Esbjerg,OB,1,0,1,0,12,5,117.58,120.41,0.41,59,0.59,41,12,11,21,18,0,0,1,1,8,8
117,13-14,Mar 02 2014,20,AaB,Vestsjælland,0,0,0,0,13,7,118.06,115.54,0.3,70,0.7,30,6,14,10,15,0,0,0,4,2,3
118,13-14,Mar 02 2014,20,Randers,Brøndby,0,1,0,0,11,4,113.88,115.99,0.5,50,0.5,50,12,7,16,9,1,0,2,1,6,3
119,13-14,Mar 02 2014,20,København,Midtjylland,1,5,1,3,8,13,117.05,119.54,0.51,49,0.49,51,9,12,11,18,1,0,1,3,4,5
120,13-14,Mar 07 2014,21,Vestsjælland,Randers,1,1,0,0,4,11,121.39,119.24,0.66,34,0.34,66,15,7,20,24,0,0,2,3,3,9
121,13-14,Mar 08 2014,21,AGF,AaB,2,5,1,4,8,10,121.74,123.15,0.46,54,0.54,46,10,4,15,10,0,0,0,0,6,5
122,13-14,Mar 09 2014,21,Viborg,Esbjerg,1,3,1,1,10,14,119.16,119.77,0.61,39,0.39,61,11,14,21,15,0,0,1,3,6,3
123,13-14,Mar 09 2014,21,Brøndby,Nordsjælland,4,1,1,0,12,12,117.85,115.35,0.45,55,0.55,45,11,8,16,15,0,0,2,1,5,2
124,13-14,Mar 09 2014,21,OB,København,0,1,0,0,10,9,115.48,110.66,0.45,55,0.55,45,13,14,18,20,0,0,2,2,7,7
125,13-14,Mar 10 2014,21,Midtjylland,Sønderjyske,2,0,1,0,8,7,117.77,123.96,0.44,56,0.56,44,16,21,12,6,0,0,2,2,6,4
126,13-14,Mar 14 2014,22,Sønderjyske,København,0,0,0,0,6,13,120.97,119.55,0.59,41,0.41,59,13,13,9,6,0,0,4,2,14,3
127,13-14,Mar 15 2014,22,Nordsjælland,Vestsjælland,1,2,1,1,12,6,116.35,114.6,0.31,69,0.69,31,12,9,15,11,0,0,3,1,8,1
128,13-14,Mar 16 2014,22,OB,Viborg,1,1,1,0,10,5,120.26,111.28,0.47,53,0.53,47,9,15,17,14,0,0,2,3,3,3
129,13-14,Mar 16 2014,22,AaB,Midtjylland,1,0,1,0,11,11,115.99,112.28,0.49,51,0.51,49,11,10,15,12,0,0,0,1,2,7
130,13-14,Mar 16 2014,22,Esbjerg,Brøndby,0,0,0,0,14,6,114.03,121.3,0.42,58,0.58,42,12,8,17,14,0,0,3,2,7,11
131,13-14,Mar 17 2014,22,Randers,AGF,1,3,1,2,16,7,114.74,117.45,0.31,69,0.69,31,11,7,26,21,0,1,2,4,4,4
132,13-14,Mar 21 2014,23,Vestsjælland,Viborg,0,1,0,1,10,10,117.96,115.28,0.52,48,0.48,52,16,12,23,17,0,0,0,1,3,4
133,13-14,Mar 22 2014,23,Midtjylland,Nordsjælland,0,1,0,0,9,4,122.22,120.87,0.46,54,0.54,46,8,13,16,10,0,0,1,3,4,7
134,13-14,Mar 23 2014,23,Sønderjyske,AaB,3,2,2,1,7,13,112.28,112.38,0.66,34,0.34,66,15,8,22,17,0,0,1,1,8,2
135,13-14,Mar 23 2014,23,København,Randers,1,1,0,0,11,9,118.38,115.59,0.53,47,0.47,53,8,13,20,13,0,0,1,2,6,4
136,13-14,Mar 23 2014,23,Brøndby,OB,1,2,0,1,16,12,117.79,118.52,0.4,60,0.6,40,7,12,11,11,0,0,1,1,5,2
137,13-14,Mar 24 2014,23,AGF,Esbjerg,0,3,0,2,8,5,115.5,120.82,0.64,36,0.36,64,11,12,20,13,0,0,0,1,5,7
138,13-14,Mar 28 2014,24,OB,Sønderjyske,2,2,0,1,13,7,119.14,120.9,0.31,69,0.69,31,7,17,13,19,0,0,0,1,2,4
139,13-14,Mar 29 2014,24,Esbjerg,Vestsjælland,0,0,0,0,10,5,124.51,117.13,0.34,66,0.66,34,5,11,8,7,0,0,1,1,1,4
140,13-14,Mar 30 2014,24,Randers,Midtjylland,0,3,0,1,11,9,120.01,117.41,0.44,56,0.56,44,21,9,15,17,0,0,1,1,5,0
141,13-14,Mar 30 2014,24,Viborg,Brøndby,0,1,0,0,10,13,115.58,114.3,0.62,38,0.38,62,10,7,19,16,0,0,2,0,2,4
142,13-14,Mar 30 2014,24,AaB,København,2,1,1,0,6,11,119.19,121.68,0.51,49,0.49,51,13,19,19,16,0,0,4,1,8,4
143,13-14,Mar 31 2014,24,Nordsjælland,AGF,1,0,0,0,12,8,115.36,115.99,0.42,58,0.58,42,5,11,21,13,0,0,0,1,8,4
144,13-14,Apr 04 2014,25,AGF,Randers,0,1,0,0,7,7,115.42,118.39,0.52,48,0.48,52,16,16,12,17,0,0,2,4,4,3
145,13-14,Apr 05 2014,25,Midtjylland,AaB,2,3,1,2,15,10,126.34,123.65,0.44,56,0.56,44,17,11,19,18,0,0,2,2,5,0
146,13-14,Apr 06 2014,25,Viborg,OB,2,2,1,2,8,10,116.94,112.41,0.58,42,0.42,58,15,6,8,13,1,0,3,3,5,9
147,13-14,Apr 06 2014,25,København,Sønderjyske,2,0,2,0,10,10,121.62,116.13,0.41,59,0.59,41,9,12,13,16,0,0,2,2,0,1
148,13-14,Apr 06 2014,25,Brøndby,Esbjerg,1,0,1,0,7,14,114.3,118.13,0.62,38,0.38,62,8,13,13,19,0,0,2,2,5,3
149,13-14,Apr 07 2014,25,Vestsjælland,Nordsjælland,0,0,0,0,10,6,115.97,114.11,0.67,33,0.33,67,7,5,19,17,0,0,0,1,7,8
150,13-14,Apr 11 2014,26,Sønderjyske,Vestsjælland,1,1,0,1,16,6,119.96,118.02,0.47,53,0.53,47,11,17,16,12,0,0,2,1,9,4
151,13-14,Apr 12 2014,26,Midtjylland,OB,0,2,0,1,12,3,114.6,120.98,0.46,54,0.54,46,8,17,11,10,0,0,1,2,4,4
152,13-14,Apr 13 2014,26,Randers,Viborg,3,1,2,0,12,8,121.27,119.02,0.54,46,0.46,54,15,13,10,11,0,0,0,3,2,8
153,13-14,Apr 13 2014,26,København,AGF,1,0,0,0,13,6,123.16,121.6,0.47,53,0.53,47,17,12,7,11,0,0,0,3,5,5
154,13-14,Apr 13 2014,26,AaB,Brøndby,2,0,2,0,8,10,124.63,123.32,0.59,41,0.41,59,10,11,23,17,0,0,2,3,5,1
155,13-14,Apr 14 2014,26,Nordsjælland,Esbjerg,0,1,0,1,11,6,118.35,121.39,0.47,53,0.53,47,10,17,12,17,0,0,1,4,5,3
156,13-14,Apr 16 2014,27,Viborg,AaB,0,2,0,0,4,11,115.7,117.52,0.67,33,0.33,67,4,7,14,14,1,0,1,0,7,3
157,13-14,Apr 17 2014,27,OB,Nordsjælland,0,1,0,1,8,11,119.77,116.4,0.49,51,0.51,49,10,13,24,18,1,0,3,3,3,3
158,13-14,Apr 17 2014,27,Esbjerg,Randers,2,2,2,1,6,4,125.96,119.02,0.44,56,0.56,44,11,13,10,14,0,0,1,1,4,8
159,13-14,Apr 17 2014,27,Vestsjælland,København,0,1,0,1,7,7,118.4,117.88,0.6,40,0.4,60,10,8,22,20,0,0,2,1,1,2
160,13-14,Apr 18 2014,27,Brøndby,Sønderjyske,3,1,0,0,8,9,115.49,118.64,0.42,58,0.58,42,10,17,17,19,0,0,1,2,6,3
161,13-14,Apr 18 2014,27,AGF,Midtjylland,0,4,0,2,9,16,112.04,118.01,0.45,55,0.55,45,7,15,21,9,0,0,1,1,3,3
163,13-14,Apr 20 2014,28,Vestsjælland,OB,1,0,0,0,7,9,123.82,122.8,0.55,45,0.45,55,14,6,15,17,0,0,1,2,7,8
164,13-14,Apr 20 2014,28,AaB,Randers,1,2,1,2,13,9,118.83,116.33,0.4,60,0.6,40,8,19,13,15,0,0,1,3,4,6
165,13-14,Apr 21 2014,28,Sønderjyske,Nordsjælland,3,1,1,0,11,8,117.31,117.59,0.61,39,0.39,61,13,7,16,17,0,0,4,3,4,8
166,13-14,Apr 21 2014,28,Midtjylland,Viborg,5,2,1,1,6,3,122.66,114.08,0.42,58,0.58,42,8,14,13,26,0,0,2,5,7,5
167,13-14,Apr 21 2014,28,AGF,Brøndby,1,2,1,1,10,11,119.51,121.72,0.56,44,0.44,56,15,14,25,10,0,0,2,1,5,5
168,13-14,Apr 21 2014,28,København,Esbjerg,2,2,2,1,11,6,119.53,114.87,0.5,50,0.5,50,12,12,20,10,0,0,1,1,6,4
169,13-14,Apr 25 2014,29,Randers,Sønderjyske,1,1,1,1,7,4,125.94,119.66,0.37,63,0.63,37,7,5,14,9,0,0,0,1,7,7
170,13-14,Apr 26 2014,29,OB,AaB,2,3,0,1,9,10,114.39,116.23,0.54,46,0.46,54,9,4,24,17,0,0,3,2,3,3
171,13-14,Apr 27 2014,29,Viborg,AGF,3,0,1,0,4,8,114.88,115.27,0.57,43,0.43,57,10,6,12,16,0,0,0,1,12,2
