index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,a_possession,h_possession (in percent),h_possession,a_possession (in percent),h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
15,13-14,3,København,Randers,1,3,1,1,19,11,114,113.14,646,418,559,335,87,83,0.87,0.8,0.48,52,0.52,48,0.57,0.43,10,7,18,10,2,3,1,3
16,13-14,3,Brøndby,Esbjerg,0,2,0,0,12,9,108.06,106.97,354,363,295,292,59,71,0.83,0.8,0.51,49,0.49,51,0.58,0.42,13,12,17,15,0,7,4,5
17,13-14,3,Vestsjælland,AaB,2,1,1,0,13,13,119.12,121.59,742,292,638,203,104,89,0.86,0.7,0.49,51,0.51,49,0.57,0.43,9,14,12,8,2,1,4,3
18,13-14,4,Viborg,Brøndby,2,2,1,0,10,15,115.35,112.93,540,354,433,248,107,106,0.8,0.7,0.5,50,0.5,50,0.45,0.55,18,6,12,14,4,2,7,2
19,13-14,4,Esbjerg,AGF,5,1,1,0,8,8,116.21,116.9,752,161,680,87,72,74,0.9,0.54,0.47,53,0.53,47,0.48,0.52,5,9,9,13,2,3,10,1
20,13-14,4,Randers,Midtjylland,1,3,1,1,10,14,117.89,116.07,448,662,384,589,64,73,0.86,0.89,0.5,50,0.5,50,0.53,0.47,8,10,13,10,2,1,7,3
21,13-14,4,AaB,OB,0,0,0,0,17,11,104.85,103.02,400,290,321,218,79,72,0.8,0.75,0.49,51,0.51,49,0.56,0.44,11,13,23,18,2,4,7,1
22,13-14,4,Nordsjælland,København,2,2,1,1,10,10,106.97,112.12,361,422,285,340,76,82,0.79,0.81,0.53,47,0.47,53,0.55,0.45,12,11,22,14,5,3,2,4
23,13-14,4,SønderjyskE,Vestsjælland,0,0,0,0,12,11,118.67,111.96,393,517,336,448,57,69,0.85,0.87,0.48,52,0.52,48,0.49,0.51,12,15,14,16,2,3,2,5
24,13-14,5,Midtjylland,Brøndby,5,2,2,1,10,11,117.48,116.34,356,368,269,278,87,90,0.76,0.76,0.5,50,0.5,50,0.51,0.49,17,13,18,14,2,0,6,9
25,13-14,5,Nordsjælland,AaB,2,1,1,1,9,8,114.12,108.54,322,515,215,390,107,125,0.67,0.76,0.53,47,0.47,53,0.47,0.53,7,7,14,11,3,2,2,8
26,13-14,5,Vestsjælland,OB,1,1,0,1,10,6,114.41,107.88,287,388,210,292,77,96,0.73,0.75,0.51,49,0.49,51,0.51,0.49,9,10,18,19,1,0,8,7
27,13-14,5,SønderjyskE,Viborg,0,3,0,2,7,9,127.5,118.1,272,784,187,689,85,95,0.69,0.88,0.49,51,0.51,49,0.48,0.52,12,13,10,16,2,1,3,6
28,13-14,5,København,AGF,1,1,1,1,12,9,117.41,117.52,619,449,546,388,73,61,0.88,0.86,0.49,51,0.51,49,0.59,0.41,17,12,12,13,2,1,1,5
29,13-14,5,Randers,Esbjerg,3,2,0,1,15,4,112.74,112.77,370,487,291,415,79,72,0.79,0.85,0.48,52,0.52,48,0.43,0.57,10,13,9,19,0,2,5,3
30,13-14,6,AGF,SønderjyskE,3,1,1,1,5,13,119.32,116.14,591,318,509,236,82,82,0.86,0.74,0.5,50,0.5,50,0.49,0.51,10,13,13,16,3,1,2,2
31,13-14,6,OB,Nordsjælland,1,0,0,0,12,7,113.01,117.93,397,342,303,260,94,82,0.76,0.76,0.47,53,0.53,47,0.59,0.41,13,7,16,10,1,2,2,12
32,13-14,6,Viborg,Esbjerg,3,1,1,0,6,12,114.9572727,117.885,337,286,261,194,76,92,0.77,0.68,0.53,47,0.47,53,0.54,0.46,9,4,22,17,0,4,7,2
33,13-14,6,København,Vestsjælland,1,1,1,1,19,10,115.64,115.45,454,465,363,375,91,90,0.8,0.81,0.5,50,0.5,50,0.49,0.51,4,16,14,11,4,1,2,6
34,13-14,6,Brøndby,Randers,0,0,0,0,18,7,117.9,113.98,397,455,281,346,116,109,0.71,0.76,0.5,50,0.5,50,0.46,0.54,10,10,19,20,1,1,3,5
35,13-14,6,AaB,Midtjylland,1,1,1,0,10,15,115.57,121.28,400,416,279,319,121,97,0.7,0.77,0.51,49,0.49,51,0.56,0.44,12,13,16,5,2,3,8,6
36,13-14,7,OB,AGF,3,6,2,1,7,9,120.68,124.9,550,363,463,283,87,80,0.84,0.78,0.52,48,0.48,52,0.61,0.39,14,10,13,12,1,3,7,4
37,13-14,7,Nordsjælland,Vestsjælland,1,2,1,0,12,9,117.7,118.46,640,306,554,231,86,75,0.87,0.75,0.53,47,0.47,53,0.5,0.5,19,13,12,14,0,1,13,4
38,13-14,7,Esbjerg,Midtjylland,1,1,1,0,10,11,113.89,114.66,341,413,265,354,76,59,0.78,0.86,0.49,51,0.51,49,0.48,0.52,12,10,12,18,3,2,4,3
39,13-14,7,Viborg,København,1,4,0,2,9,19,109.63,110.73,288,616,202,527,86,89,0.7,0.86,0.52,48,0.48,52,0.41,0.59,12,6,12,14,0,4,5,10
40,13-14,7,AaB,Brøndby,2,1,0,0,14,13,117.73,114.79,556,464,504,387,52,77,0.91,0.83,0.53,47,0.47,53,0.52,0.48,7,17,17,13,1,3,1,5
41,13-14,7,Randers,SønderjyskE,0,2,0,0,9,9,116.03,117.62,469,373,370,277,99,96,0.79,0.74,0.5,50,0.5,50,0.57,0.43,9,14,20,14,1,1,10,3
42,13-14,8,SønderjyskE,AaB,1,3,1,1,9,12,115.63,110.55,495,380,385,261,110,119,0.78,0.69,0.47,53,0.53,47,0.6,0.4,13,10,19,11,7,0,7,2
43,13-14,8,København,Esbjerg,1,1,0,1,18,12,126.59,120.04,313,803,218,714,95,89,0.7,0.89,0.47,53,0.53,47,0.42,0.58,15,17,7,15,4,4,2,3
44,13-14,8,AGF,Viborg,0,1,0,1,11,8,113.84,112.62,355,299,239,213,116,86,0.67,0.71,0.48,52,0.52,48,0.55,0.45,5,8,18,17,6,2,6,3
45,13-14,8,Vestsjælland,Randers,2,0,0,0,8,9,116.65,118.39,629,407,551,338,78,69,0.88,0.83,0.47,53,0.53,47,0.55,0.45,13,8,13,10,3,6,0,1
46,13-14,8,Brøndby,OB,2,1,1,0,20,10,110.16,111.55,431,251,327,157,104,94,0.76,0.63,0.53,47,0.47,53,0.53,0.47,14,8,17,19,1,1,8,1
47,13-14,8,Midtjylland,Nordsjælland,2,1,1,1,7,19,116.48,116.59,470,299,373,212,97,87,0.79,0.71,0.53,47,0.47,53,0.6,0.4,16,11,20,15,3,3,6,6
48,13-14,9,Randers,AaB,3,2,2,1,11,11,120.12,119.85,450,501,380,404,70,97,0.84,0.81,0.47,53,0.53,47,0.46,0.54,14,12,12,7,2,3,3,9
49,13-14,9,Midtjylland,Viborg,0,0,0,0,18,6,113.88,116.07,435,415,371,334,64,81,0.85,0.8,0.52,48,0.48,52,0.42,0.58,10,8,10,13,1,1,4,4
50,13-14,9,SønderjyskE,Nordsjælland,2,0,2,0,8,12,114.45,117.03,450,280,331,188,119,92,0.74,0.67,0.5,50,0.5,50,0.56,0.44,15,19,18,14,5,0,4,6
51,13-14,9,AGF,Brøndby,1,3,0,1,9,19,109.89,116.39,319,747,246,652,73,95,0.77,0.87,0.48,52,0.52,48,0.45,0.55,4,10,6,7,3,0,5,5
52,13-14,9,København,OB,2,1,0,1,13,10,119.15,111.94,467,442,378,369,89,73,0.81,0.83,0.5,50,0.5,50,0.4,0.6,13,10,12,22,0,0,9,2
53,13-14,9,Vestsjælland,Esbjerg,1,3,0,3,6,7,120.62,116.98,400,443,310,367,90,76,0.78,0.83,0.49,51,0.51,49,0.5,0.5,7,13,13,11,5,1,4,7
54,13-14,10,Viborg,Vestsjælland,2,0,0,0,10,6,117.41,114.67,469,446,384,365,85,81,0.82,0.82,0.48,52,0.52,48,0.45,0.55,4,5,13,8,0,0,3,3
55,13-14,10,Brøndby,København,3,2,2,0,8,8,117.25,112.97,614,397,515,299,99,98,0.84,0.75,0.47,53,0.53,47,0.52,0.48,16,8,10,12,3,0,9,0
56,13-14,10,Esbjerg,SønderjyskE,4,1,2,0,16,11,115.6,119.74,591,243,519,171,72,72,0.88,0.7,0.52,48,0.48,52,0.48,0.52,13,14,23,12,3,3,8,2
57,13-14,10,AaB,AGF,0,0,0,0,6,6,115.25,112.89,410,429,334,352,76,77,0.81,0.82,0.47,53,0.53,47,0.52,0.48,5,16,17,12,1,2,4,9
58,13-14,10,OB,Midtjylland,1,1,0,1,8,10,111.65,109.28,382,425,288,332,94,93,0.75,0.78,0.49,51,0.51,49,0.52,0.48,11,15,22,21,3,3,2,7
59,13-14,10,Nordsjælland,Randers,1,0,1,0,10,9,119.92,118.37,511,295,427,201,84,94,0.84,0.68,0.53,47,0.47,53,0.49,0.51,11,15,20,25,4,3,5,5
60,13-14,11,Randers,AGF,2,2,2,1,10,11,115.44,119.74,466,360,380,287,86,73,0.82,0.8,0.52,48,0.48,52,0.47,0.53,15,3,16,21,4,2,9,6
61,13-14,11,Esbjerg,OB,1,3,1,1,17,6,118.17,119.25,418,390,307,286,111,104,0.73,0.73,0.53,47,0.47,53,0.47,0.53,11,10,8,16,2,2,4,4
62,13-14,11,AaB,Viborg,3,1,2,1,17,9,115.2,117.96,439,476,325,372,114,104,0.74,0.78,0.51,49,0.49,51,0.51,0.49,7,12,19,10,5,1,8,3
63,13-14,11,København,SønderjyskE,2,1,1,0,21,8,113.86,116.4,374,347,287,268,87,79,0.77,0.77,0.51,49,0.49,51,0.52,0.48,10,9,20,17,0,2,7,9
64,13-14,11,Nordsjælland,Brøndby,1,1,0,1,7,9,112.97,106.66,717,295,648,220,69,75,0.9,0.75,0.49,51,0.51,49,0.52,0.48,18,16,10,9,2,3,2,3
65,13-14,11,Midtjylland,Vestsjælland,2,2,1,0,12,9,117.03,118.05,429,586,338,502,91,84,0.79,0.86,0.53,47,0.47,53,0.57,0.43,11,8,8,8,0,1,1,9
66,13-14,12,AGF,Nordsjælland,0,1,0,0,11,10,117.5518182,116.4384848,580,257,497,164,83,93,0.86,0.64,0.47,53,0.53,47,0.58,0.42,11,9,10,9,3,0,13,1
67,13-14,12,Midtjylland,Randers,1,1,1,0,10,6,117.28,122.7,495,243,414,159,81,84,0.84,0.65,0.5,50,0.5,50,0.57,0.43,15,8,24,17,5,2,7,2
68,13-14,12,Vestsjælland,Esbjerg,2,1,1,0,11,8,122.99,120.67,441,374,325,258,116,116,0.74,0.69,0.49,51,0.51,49,0.5,0.5,3,12,16,22,9,4,7,1
69,13-14,12,Brøndby,Viborg,0,0,0,0,12,9,114.89,111.38,191,709,122,641,69,68,0.64,0.9,0.53,47,0.47,53,0.46,0.54,9,13,7,15,2,1,2,14
70,13-14,12,København,AaB,3,0,1,0,5,4,115.34,117.29,486,472,412,403,74,69,0.85,0.85,0.48,52,0.52,48,0.55,0.45,6,16,14,15,1,1,5,4
71,13-14,12,SønderjyskE,OB,1,5,0,1,14,13,121.38,112.24,440,396,366,305,74,91,0.83,0.77,0.49,51,0.51,49,0.56,0.44,6,9,20,11,1,3,7,10
72,13-14,13,Viborg,Vestsjælland,4,1,1,1,7,14,121.41,119.66,497,439,421,355,76,84,0.85,0.81,0.5,50,0.5,50,0.54,0.46,9,6,18,13,2,2,8,10
73,13-14,13,Nordsjælland,Midtjylland,2,1,1,1,14,15,123.4,121.32,432,399,323,313,109,86,0.75,0.78,0.49,51,0.51,49,0.55,0.45,12,16,15,11,2,1,10,2
74,13-14,13,AaB,SønderjyskE,2,0,0,0,17,7,115.29,116.46,832,225,727,148,105,77,0.87,0.66,0.51,49,0.49,51,0.56,0.44,9,13,14,11,2,7,8,5
75,13-14,13,Randers,København,1,1,1,0,12,19,119.37,122.26,403,416,303,329,100,87,0.75,0.79,0.53,47,0.47,53,0.46,0.54,10,10,11,21,1,5,7,8
76,13-14,13,OB,Brøndby,0,0,0,0,17,11,121.3,119.79,292,630,212,542,80,88,0.73,0.86,0.5,50,0.5,50,0.51,0.49,7,12,18,13,4,2,1,9
77,13-14,13,Esbjerg,AGF,0,2,0,1,17,8,116.6,121.17,529,332,438,261,91,71,0.83,0.79,0.41,59,0.59,41,0.47,0.53,14,12,12,21,1,3,6,1
78,13-14,14,SønderjyskE,Randers,1,3,1,2,8,7,120.7,117.73,422,558,323,467,99,91,0.77,0.84,0.57,43,0.43,57,0.52,0.48,17,12,13,13,3,3,7,5
79,13-14,14,København,Nordsjælland,4,0,0,0,13,8,115.67,116.62,521,467,448,390,73,77,0.86,0.84,0.45,55,0.55,45,0.56,0.44,12,9,11,16,4,2,10,0
80,13-14,14,AaB,OB,1,0,0,0,18,10,120.65,122.49,404,369,297,281,107,88,0.74,0.76,0.46,54,0.54,46,0.4,0.6,6,7,17,21,4,1,3,2
81,13-14,14,AGF,Viborg,2,1,1,0,10,6,118.52,121.55,500,306,400,227,100,79,0.8,0.74,0.47,53,0.53,47,0.53,0.47,7,14,15,11,4,3,2,4
82,13-14,14,Midtjylland,Esbjerg,3,0,1,0,2,9,117.04,120.48,647,313,549,231,98,82,0.85,0.74,0.59,41,0.41,59,0.47,0.53,16,11,13,10,3,2,4,5
83,13-14,14,Vestsjælland,Brøndby,0,2,0,0,14,10,109.73,114.86,542,411,422,311,120,100,0.78,0.76,0.61,39,0.39,61,0.52,0.48,16,10,12,10,2,2,2,2
84,13-14,15,Viborg,Midtjylland,2,3,0,1,14,8,114.97,118,444,310,358,220,86,90,0.81,0.71,0.52,48,0.48,52,0.61,0.39,11,11,9,7,3,0,13,7
85,13-14,15,Nordsjælland,SønderjyskE,3,0,2,0,15,7,102.04,112.75,271,617,186,541,85,76,0.69,0.88,0.42,58,0.58,42,0.41,0.59,15,14,10,20,2,7,8,1
86,13-14,15,OB,Vestsjælland,1,3,0,2,9,9,116.08,117.89,359,487,277,395,82,92,0.77,0.81,0.45,55,0.55,45,0.51,0.49,4,8,17,25,4,2,0,8
87,13-14,15,Esbjerg,København,1,1,1,0,12,8,115.3,118.23,423,373,341,270,82,103,0.81,0.72,0.57,43,0.43,57,0.55,0.45,16,4,15,12,6,3,5,4
88,13-14,15,Brøndby,AGF,3,0,0,0,10,10,115.58,114.5,455,348,357,259,98,89,0.78,0.74,0.42,58,0.58,42,0.51,0.49,10,14,12,14,2,1,4,4
89,13-14,15,Randers,AaB,1,4,0,2,11,7,116.22,113.55,709,429,624,357,85,72,0.88,0.83,0.46,54,0.54,46,0.4,0.6,16,11,12,9,3,4,1,3
90,13-14,16,SønderjyskE,Esbjerg,1,0,1,0,15,15,120.16,117.97,535,478,428,370,107,108,0.8,0.77,0.55,45,0.45,55,0.45,0.55,11,7,4,15,3,1,6,1
91,13-14,16,Randers,OB,1,1,1,0,5,8,119.85,124.26,482,336,401,248,81,88,0.83,0.74,0.5,50,0.5,50,0.52,0.48,14,16,15,10,4,1,9,5
92,13-14,16,AGF,Vestsjælland,2,2,1,1,8,12,119.65,116.59,347,656,264,589,83,67,0.76,0.9,0.52,48,0.48,52,0.45,0.55,12,13,16,20,3,2,6,4
93,13-14,16,København,Viborg,4,1,3,1,8,5,119.96,120.15,547,526,459,441,88,85,0.84,0.84,0.5,50,0.5,50,0.52,0.48,11,5,12,11,0,2,7,2
94,13-14,16,Midtjylland,Brøndby,0,1,0,0,12,7,118.39,113.47,327,453,255,371,72,82,0.78,0.82,0.51,49,0.49,51,0.49,0.51,10,10,20,11,5,4,4,4
95,13-14,16,AaB,Nordsjælland,1,1,1,1,5,15,120.35,120.7,521,370,427,265,94,105,0.82,0.72,0.59,41,0.41,59,0.47,0.53,10,10,17,21,1,4,6,4
96,13-14,17,Vestsjælland,Midtjylland,0,1,0,1,10,5,114.13,117.44,442,393,338,297,104,96,0.76,0.76,0.45,55,0.55,45,0.42,0.58,10,11,15,13,4,1,8,1
97,13-14,17,Viborg,SønderjyskE,2,2,1,1,9,8,125.42,121.07,511,330,424,254,87,76,0.83,0.77,0.51,49,0.49,51,0.48,0.52,15,9,19,13,1,2,6,3
98,13-14,17,Nordsjælland,Randers,1,1,1,1,19,4,115.12,115.85,356,300,251,183,105,117,0.71,0.61,0.37,63,0.63,37,0.5,0.5,7,12,24,17,10,3,3,6
99,13-14,17,OB,AGF,4,1,2,0,20,12,111.28,115.98,421,319,318,210,103,109,0.76,0.66,0.49,51,0.51,49,0.46,0.54,13,5,15,27,0,1,6,2
100,13-14,17,Brøndby,København,1,3,1,3,9,7,119.19,123.8,737,263,675,207,62,56,0.92,0.79,0.51,49,0.49,51,0.56,0.44,10,16,10,12,0,4,9,4
101,13-14,17,Esbjerg,AaB,2,2,1,2,20,6,118.02,121.67,545,321,426,221,119,100,0.78,0.69,0.37,63,0.63,37,0.52,0.48,5,11,20,15,2,1,6,2
102,13-14,18,Nordsjælland,OB,2,0,1,0,10,11,116.02,116.79,387,435,299,327,88,108,0.77,0.75,0.42,58,0.58,42,0.53,0.47,8,7,18,11,1,0,3,6
103,13-14,18,København,Vestsjælland,1,0,0,0,11,6,114.63,116.52,346,469,239,349,107,120,0.69,0.74,0.5,50,0.5,50,0.55,0.45,6,8,18,14,2,3,5,2
104,13-14,18,Randers,Esbjerg,1,0,0,0,11,12,119.36,118.85,499,349,383,244,116,105,0.77,0.7,0.45,55,0.55,45,0.49,0.51,13,11,20,22,3,3,3,3
105,13-14,18,Midtjylland,AGF,3,0,3,0,12,5,120.84,127.3,547,331,471,250,76,81,0.86,0.76,0.44,56,0.56,44,0.46,0.54,15,9,17,7,1,2,6,3
106,13-14,18,SønderjyskE,Brøndby,1,1,1,1,10,3,121.99,117.5,305,533,236,438,69,95,0.77,0.82,0.53,47,0.47,53,0.53,0.47,10,10,18,20,4,2,6,6
107,13-14,18,AaB,Viborg,5,0,3,0,10,6,128.05,123.74,510,458,424,378,86,80,0.83,0.83,0.49,51,0.51,49,0.51,0.49,4,9,12,7,1,7,7,2
108,13-14,19,Vestsjælland,SønderjyskE,0,4,0,1,14,9,120.42,120.02,532,559,423,453,109,106,0.8,0.81,0.35,65,0.65,35,0.42,0.58,10,9,10,13,1,2,1,5
109,13-14,19,OB,Midtjylland,2,1,1,1,6,13,121.44,118.77,364,424,262,314,102,110,0.72,0.74,0.49,51,0.51,49,0.51,0.49,16,19,16,20,2,0,3,5
110,13-14,19,Viborg,Randers,1,1,0,0,7,9,119.71,118.08,466,383,339,282,127,101,0.73,0.74,0.58,42,0.42,58,0.58,0.42,16,11,24,14,3,0,5,4
111,13-14,19,AGF,København,1,1,0,0,3,14,119.48,122.51,521,468,431,364,90,104,0.83,0.78,0.48,52,0.52,48,0.48,0.52,17,15,15,14,4,1,6,1
112,13-14,19,Brøndby,AaB,2,2,1,1,17,9,117.06,112.27,393,457,300,372,93,85,0.76,0.81,0.44,56,0.56,44,0.48,0.52,11,10,19,21,2,3,5,1
113,13-14,19,Esbjerg,Nordsjælland,2,1,1,0,13,11,121.86,119.04,523,309,429,218,94,91,0.82,0.71,0.51,49,0.49,51,0.46,0.54,11,5,14,15,1,4,9,1
114,13-14,20,Nordsjælland,Viborg,2,0,1,0,18,6,119.85,117.28,335,591,241,497,94,94,0.72,0.84,0.35,65,0.65,35,0.54,0.46,8,17,12,7,1,5,2,3
115,13-14,20,SønderjyskE,AGF,1,2,1,0,12,9,114.6,115.02,399,342,292,257,107,85,0.73,0.75,0.65,35,0.35,65,0.55,0.45,10,12,22,19,1,4,7,3
116,13-14,20,Esbjerg,OB,1,0,1,0,12,5,117.58,120.41,455,257,348,174,107,83,0.76,0.68,0.41,59,0.59,41,0.54,0.46,12,11,21,18,0,4,8,8
117,13-14,20,AaB,Vestsjælland,0,0,0,0,13,7,118.06,115.54,474,316,363,230,111,86,0.77,0.73,0.3,70,0.7,30,0.55,0.45,6,14,10,15,0,2,2,3
118,13-14,20,Randers,Brøndby,0,1,0,0,11,4,113.88,115.99,898,246,811,172,87,74,0.9,0.7,0.5,50,0.5,50,0.62,0.38,12,7,16,9,2,0,6,3
119,13-14,20,København,Midtjylland,1,5,1,3,8,13,117.05,119.54,409,391,323,298,86,93,0.79,0.76,0.51,49,0.49,51,0.52,0.48,9,12,11,18,1,0,4,5
120,13-14,21,Vestsjælland,Randers,1,1,0,0,4,11,121.39,119.24,436,336,326,207,110,129,0.75,0.62,0.66,34,0.34,66,0.45,0.55,15,7,20,24,7,6,3,9
121,13-14,21,AGF,AaB,2,5,1,4,8,10,121.74,123.15,406,511,308,406,98,105,0.76,0.79,0.46,54,0.54,46,0.51,0.49,10,4,15,10,4,3,6,5
122,13-14,21,Viborg,Esbjerg,1,3,1,1,10,14,119.16,119.77,545,347,446,241,99,106,0.82,0.69,0.61,39,0.39,61,0.53,0.47,11,14,21,15,3,3,6,3
123,13-14,21,Brøndby,Nordsjælland,4,1,1,0,12,12,117.85,115.35,369,479,263,382,106,97,0.71,0.8,0.45,55,0.55,45,0.48,0.52,11,8,16,15,6,3,5,2
124,13-14,21,OB,København,0,1,0,0,10,9,115.48,110.66,419,355,330,259,89,96,0.79,0.73,0.45,55,0.55,45,0.55,0.45,13,14,18,20,6,1,7,7
125,13-14,21,Midtjylland,SønderjyskE,2,0,1,0,8,7,117.77,123.96,700,414,600,324,100,90,0.86,0.78,0.44,56,0.56,44,0.56,0.44,16,21,12,6,7,3,6,4
126,13-14,22,SønderjyskE,København,0,0,0,0,6,13,120.97,119.55,504,329,394,232,110,97,0.78,0.71,0.59,41,0.41,59,0.55,0.45,13,13,9,6,5,4,14,3
127,13-14,22,Nordsjælland,Vestsjælland,1,2,1,1,12,6,116.35,114.6,573,475,501,393,72,82,0.87,0.83,0.31,69,0.69,31,0.47,0.53,12,9,15,11,2,2,8,1
128,13-14,22,OB,Viborg,1,1,1,0,10,5,120.26,111.28,388,427,256,299,132,128,0.66,0.7,0.47,53,0.53,47,0.5,0.5,9,15,17,14,4,2,3,3
129,13-14,22,AaB,Midtjylland,1,0,1,0,11,11,115.99,112.28,247,712,162,640,85,72,0.66,0.9,0.49,51,0.51,49,0.56,0.44,11,10,15,12,3,2,2,7
130,13-14,22,Esbjerg,Brøndby,0,0,0,0,14,6,114.03,121.3,435,396,335,296,100,100,0.77,0.75,0.42,58,0.58,42,0.47,0.53,12,8,17,14,0,1,7,11
131,13-14,22,Randers,AGF,1,3,1,2,16,7,114.74,117.45,528,366,407,252,121,114,0.77,0.69,0.31,69,0.69,31,0.5,0.5,11,7,26,21,2,3,4,4
132,13-14,23,Vestsjælland,Viborg,0,1,0,1,10,10,117.96,115.28,438,354,339,254,99,100,0.77,0.72,0.52,48,0.48,52,0.49,0.51,16,12,23,17,2,2,3,4
133,13-14,23,Midtjylland,Nordsjælland,0,1,0,0,9,4,122.22,120.87,519,320,396,210,123,110,0.76,0.66,0.46,54,0.54,46,0.43,0.57,8,13,16,10,3,3,4,7
134,13-14,23,SønderjyskE,AaB,3,2,2,1,7,13,112.28,112.38,411,346,286,234,125,112,0.7,0.68,0.66,34,0.34,66,0.57,0.43,15,8,22,17,3,1,8,2
135,13-14,23,København,Randers,1,1,0,0,11,9,118.38,115.59,408,320,295,207,113,113,0.72,0.65,0.53,47,0.47,53,0.5,0.5,8,13,20,13,1,1,6,4
136,13-14,23,Brøndby,OB,1,2,0,1,16,12,117.79,118.52,788,249,706,185,82,64,0.9,0.74,0.4,60,0.6,40,0.52,0.48,7,12,11,11,2,4,5,2
